TemperatureC,DewPointC,Humidity,SeaLevelPressurehPa,VisibilityKm,WindSpeedKmh,WindDirDegrees,Office_Autumn
2.8,-0.6,79.0,1016.0,16.1,9.3,300,160.15
5.8,-1.6,154.0,2033.4,32.2,13.0,600,162.95
2.8,-1.1,76.0,1017.2,16.1,5.6,320,157.14
2.2,-0.6,82.0,1017.5,16.1,5.6,60,266.57
2.2,-1.1,79.0,1017.9,16.1,5.6,70,278.86
1.7,0.0,89.0,1018.2,16.1,5.6,80,268.34
2.2,0.0,86.0,1019.0,16.1,7.4,100,264.04
2.8,0.6,86.0,1019.8,16.1,7.4,90,253.64
2.8,0.0,82.0,1020.4,16.1,0.0,0,246.44
3.9,0.0,76.0,1021.0,16.1,0.0,0,239.7
5.0,-1.1,65.0,1021.3,16.1,9.3,350,216.22
11.2,-3.4,120.0,2041.0,32.2,13.0,0,205.99
11.7,-4.4,114.0,2040.1,32.2,18.5,700,196.13
6.7,-2.8,51.0,1019.1,16.1,0.0,0,200.35
7.2,-3.3,48.0,1018.5,16.1,7.4,340,196.17
7.2,-3.3,48.0,1018.6,16.1,5.6,240,193.09
7.2,-3.3,48.0,1018.7,16.1,0.0,0,186.88
7.2,-2.8,49.0,1018.9,16.1,5.6,0,201.62
6.1,-2.2,56.0,1019.2,16.1,11.1,240,221.26
5.0,-1.7,62.0,1019.3,16.1,9.3,250,232.0
5.0,-2.2,60.0,1019.1,16.1,7.4,270,239.22
5.0,-2.8,57.0,1019.0,16.1,11.1,300,150.81
2.8,-1.1,76.0,1018.6,16.1,5.6,230,147.66
2.2,-1.1,79.0,1018.5,16.1,5.6,240,159.12
11.7,10.6,93.0,1014.1,16.1,0.0,0,167.59
11.1,10.0,93.0,1014.2,16.1,5.6,60,183.67
11.1,10.0,93.0,1014.6,16.1,5.6,60,187.19
10.0,9.4,96.0,1014.6,12.9,0.0,0,268.18
10.6,9.4,92.0,1014.9,14.5,5.6,20,279.42
41.800000000000004,40.0,388.0,4062.8999999999996,12.500000000000002,11.2,330,275.06
